Date,Close
2018-06-27,"83,03"
2018-06-28,"85,07"
2018-06-29,"84,99"
2018-07-02,"85,69"
2018-07-03,"84,7"
2018-07-05,"84,99"
2018-07-06,"85,53"
2018-07-09,"86,95"
2018-07-10,"87,15"
2018-07-11,"87,75"
2018-07-12,"89,83"
2018-07-13,"90,65"
2018-07-16,"91,12"
2018-07-17,"92,2"
2018-07-18,"92,15"
2018-07-19,"90,65"
2018-07-20,"90,69"
2018-07-23,"90,1"
2018-07-24,"91,46"
2018-07-25,"93,18"
2018-07-26,"90,4"
2018-07-27,"90,86"
2018-07-30,"88,96"
2018-07-31,"88,87"
2018-08-01,"89,86"
2018-08-02,"91,72"
2018-08-03,"91,16"
2018-08-06,"92,39"
2018-08-07,"93,12"
2018-08-08,"94,33"
2018-08-09,"94,93"
2018-08-10,"94,32"
2018-08-13,"94,81"
2018-08-14,"95,98"
2018-08-15,"94,13"
2018-08-16,"94,33"
2018-08-17,"94,11"
2018-08-20,"93,84"
2018-08-21,"94,17"
2018-08-22,"95,25"
2018-08-23,"95,15"
2018-08-24,"95,27"
2018-08-27,"96,38"
2018-08-28,"96,64"
2018-08-29,"99,91"
2018-08-30,"100,12"
2018-08-31,"100,64"
2018-09-04,"101,98"
2018-09-05,"99,74"
2018-09-06,"97,92"
2018-09-07,"97,6"
2018-09-10,"96,95"
2018-09-11,"99,36"
2018-09-12,"99,5"
2018-09-13,"99,49"
2018-09-14,"98,51"
2018-09-17,"95,4"
2018-09-18,"97,05"
2018-09-19,"96,32"
2018-09-20,"97,22"
2018-09-21,"95,75"
2018-09-24,"96,72"
2018-09-25,"98,73"
2018-09-26,"98,74"
2018-09-27,"100,65"
2018-09-28,"100,15"
2018-10-01,"100,22"
2018-10-02,"98,57"
2018-10-03,"97,64"
2018-10-04,"95,47"
2018-10-05,"94,48"
2018-10-08,"93,22"
2018-10-09,"93,52"
2018-10-10,"87,76"
2018-10-11,"85,97"
2018-10-12,"89,43"
2018-10-15,"88,05"
2018-10-16,91
2018-10-17,"91,59"
2018-10-18,"88,54"
2018-10-19,"88,2"
2018-10-22,"89,47"
2018-10-23,"88,44"
2018-10-24,"83,21"
2018-10-25,"89,11"
2018-10-26,"82,14"
2018-10-29,"76,94"
2018-10-30,"76,52"
2018-10-31,"79,9"
2018-11-01,"83,28"
2018-11-02,"83,28"
2018-11-05,"81,39"
2018-11-06,"82,14"
2018-11-07,"87,77"
2018-11-08,"87,75"
2018-11-09,"85,62"
2018-11-12,"81,84"
2018-11-13,"81,56"
2018-11-14,"79,95"
2018-11-15,"80,97"
2018-11-16,"79,67"
2018-11-19,"75,61"
2018-11-20,"74,77"
2018-11-21,"75,84"
2018-11-23,"75,1"
2018-11-26,"79,07"
2018-11-27,"79,07"
2018-11-28,"83,89"
2018-11-29,"83,68"
2018-11-30,"84,51"
2018-12-03,"88,62"
2018-12-04,"83,42"
2018-12-06,"84,96"
2018-12-07,"81,46"
2018-12-10,"82,05"
2018-12-11,"82,16"
2018-12-12,"83,18"
2018-12-13,"82,92"
2018-12-14,"79,6"
2018-12-17,"76,05"
2018-12-18,"77,57"
2018-12-19,"74,75"
2018-12-20,"73,04"
2018-12-21,"68,87"
2018-12-24,"67,2"
2018-12-26,"73,55"
2018-12-27,"73,08"
2018-12-28,"73,9"
2018-12-31,"75,1"
2019-01-02,"76,96"
2019-01-03,"75,01"
2019-01-04,"78,77"
2019-01-07,"81,48"
2019-01-08,"82,83"
2019-01-09,"82,97"
2019-01-10,"82,81"
2019-01-11,"82,03"
2019-01-14,"80,86"
2019-01-15,"83,73"
2019-01-16,"84,19"
2019-01-17,"84,66"
2019-01-18,"84,81"
2019-01-22,"81,61"
2019-01-23,82
2019-01-24,"82,75"
2019-01-25,"83,53"
2019-01-28,"81,89"
2019-01-29,"79,69"
2019-01-30,"83,52"
2019-01-31,"85,94"
2019-02-01,"81,31"
2019-02-04,"81,67"
2019-02-05,"82,94"
2019-02-06,"82,01"
2019-02-07,"80,72"
2019-02-08,"79,41"
2019-02-11,"79,55"
2019-02-12,"81,9"
2019-02-13,82
2019-02-14,"81,13"
2019-02-15,"80,4"
2019-02-19,"81,38"
2019-02-20,"81,11"
2019-02-21,"80,97"
2019-02-22,"81,58"
2019-02-25,"81,65"
2019-02-26,"81,82"
2019-02-27,"82,05"
2019-02-28,"81,99"
2019-03-01,"83,59"
2019-03-04,"84,81"
2019-03-05,"84,62"
2019-03-06,"83,45"
2019-03-07,"81,3"
2019-03-08,"81,04"
2019-03-11,"83,53"
2019-03-12,"83,66"
2019-03-13,"84,54"
2019-03-14,"84,31"
2019-03-15,"85,62"
2019-03-18,"87,11"
2019-03-19,"88,09"
2019-03-20,"89,86"
2019-03-21,"90,96"
2019-03-22,"88,24"
2019-03-25,"88,71"
2019-03-26,"89,19"
2019-03-27,"88,29"
2019-03-28,"88,67"
2019-03-29,"89,04"
2019-04-01,"90,71"
2019-04-02,"90,7"
2019-04-03,"91,04"
2019-04-04,"90,94"
2019-04-05,"91,86"
2019-04-08,"92,49"
2019-04-09,"91,79"
2019-04-10,"92,37"
2019-04-11,"92,2"
2019-04-12,"92,15"
2019-04-15,"92,24"
2019-04-16,"93,15"
2019-04-17,"93,24"
2019-04-18,"93,08"
